author,username,retweet_count,tweets,created_at,type
kthbbyl,chyxxxtae,0,@kthbbyl @_SweetenerV @BTS_twt @kimtatajjkv @taerrybearr @taevhyungxxie BIKININ TIKTOK WOYY WKWKWK,2021-12-06 03:58:22,replied_to
CajuputOil_66,PenampungV,141,"RT @CajuputOil_66: Sabar kata doi, Join Grup Telegram, promo 100k only.
- Sekali bayar &amp; permanen
- Dapet 2 Grup
- Daily Updates
- Foto nud…",2021-12-06 03:58:22,retweeted
vmoonart,yoonkoffee,0,@vmoonart @BTS_twt linda leleh 🤧,2021-12-06 03:58:20,replied_to
_BTSMoments_,Sukayang_Aneh,0,"@_BTSMoments_ @BTS_twt Izin kaka2🙏🙏
Mungkin Dr kaka2 semua yg suka konten melukis, bisa berkunjung kesini kak￼￼￼ Sama SUBCRIBE nya￼￼

https://t.co/hQ6a15Aw5z

https://t.co/yCqAmbugqE",2021-12-06 03:58:17,replied_to
Areum_ot7,hajardaudi2,29,"RT @Areum_ot7: 💜SUPRISE GA💜
PRIZE:
J-Hope ARMY Membership Kit Member Set
(Photocard&amp;ID Photo)
Hi,guys! @minimijeusara wanna share this to c…",2021-12-06 03:58:10,retweeted
indomyfess,doudouvk,0,"@indomyfess Nah kan
Yang army tuh kalo bts dah bilang just for fun, didengerin. Kalo yg non army sih ya gatau apa2, tapi gausah disebarin juga.",2021-12-06 03:58:09,replied_to
rahmdess27,jijitreyeu,33,"RT @rahmdess27: Have fun bby liburannya bersama keluarga, teman dan sahabat kalian. Army bakal nunggu karya-karya kalian selanjutnya, bahag…",2021-12-06 03:58:08,retweeted
ARMYTEAMIID,Sukayang_Aneh,0,"@ARMYTEAMIID @BTS_twt Izin kaka2🙏🙏
Mungkin Dr kaka2 semua yg suka konten melukis, bisa berkunjung kesini kak￼￼￼ Sama SUBCRIBE nya￼￼

https://t.co/hQ6a15Aw5z

https://t.co/yCqAmbugqE",2021-12-06 03:58:04,replied_to
BtsarmyPeduli,Aprillie1604,634,"RT @BtsarmyPeduli: [Urgent!!] bantuan darurat untuk warga terdampak erupsi gunung Semeru, ayo army indonesiabisa berdonasi melalui : https:…",2021-12-06 03:58:02,retweeted
xxfii_,DwiYuniHapsari1,1,"RT @xxfii_: Rest well sayang² kuu ... Selamat liburan dan berleha-leha bersama keluarga 🤗🤗💜💜
@BTS_twt",2021-12-06 03:58:02,retweeted
jjeonggukgf_,jinphanie_,0,@jjeonggukgf_ @BTS_twt anjir wkwkwkwk,2021-12-06 04:59:53,replied_to
