author,username,retweet_count,tweets,created_at,type
,merdekadotcom,0,"PVMBG: Bukan Erupsi, Bencana Gunung Semeru Awan Panas Guguran https://t.co/exDaVfnAps",2021-12-06 03:59:37,
,JazuliJuwaini,4,Ketua FPKS Ajak Potong Gaji Bantu Korban Letusan Gunung Semeru https://t.co/DQAwQ45Kfe,2021-12-06 03:59:36,
aik_arif,andrian39040566,829,"RT @aik_arif: Dari yg bisu dipaksa bicara, korban perkosaan aparat akhirnya bunuh diri, hingga Semeru erupsi dan banjir lahar tanpa peringa…",2021-12-06 03:59:35,retweeted
tonaytoni,ndrongselow,11,"RT @tonaytoni: Mari sejenak kita berdoa buat saudara2 kita yg kena musibah erupsi gunung semeru, Smg diberikan ketabahan, kesabaran serta k…",2021-12-06 03:59:35,retweeted
,inewsdotid,0,Jokowi Minta Prioritaskan Keselamatan Korban Letusan Gunung Semeru https://t.co/0hGAs1nL9h,2021-12-06 03:59:34,
,RingtimesBerita,0,"Update Terbaru Data Korban Erupsi Gunung Semeru, 14 Orang Meninggal 56 Luka-luka https://t.co/dDMvlYGf87",2021-12-06 03:59:32,
Lelaki_5unyi,devysilalahi,729,"RT @Lelaki_5unyi: Mensos Bu Risma mengunjungi korban erupsi gunung Semeru Jatim

🤦😎 https://t.co/9U18PUNALg",2021-12-06 03:59:32,retweeted
aeribase,EFebbiy,834,"RT @aeribase: HELP RETWEET &amp; SHARE PLEASE 🙏🙏🙏
OPEN DONASI UNTUK KORBAN ERUPSI GUNUNG SEMERU DI LUMAJANG, MALANG

silakan bagi teman-teman e…",2021-12-06 03:59:30,retweeted
Gita_Gina_,DjokoErlangga,34,RT @Gita_Gina_: Mari luangkan waktu sejenak untuk sematkan doa terbaik bagi saudara-saudari kita di Kabupaten Lumajang dan sekitarnya yang…,2021-12-06 03:59:29,retweeted
NagregPolsek,UnitNagreg,8,"RT @NagregPolsek: Baharkam Polri Kirim Pasukan Bantu Korban Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.c…",2021-12-06 03:59:28,retweeted
medianutulakan,imamnahrowiswe1,10,"RT @medianutulakan: Ansor Banser Kecamatan Purwodadi Kab. Pasuruan peduli kemanusiaan korban erupsi Gunung Semeru, Lumajang

#BanserTanggap…",2021-12-06 03:59:28,retweeted
HumasPoldaJatim,MagetanPolres55,34,"RT @HumasPoldaJatim: Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Luma…",2021-12-06 03:59:26,retweeted
,BawasluMetro,0,Bawaslu Berduka Atas Meletusnya Gunung Semeru 🗻 https://t.co/OjNfIEOm9m,2021-12-06 03:59:25,
,PBrebes1,0,"Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru 

Kepolisian Negara Republik Indonesia (POLRI) terus hadir untuk masyarakat, dengan sigap Korps Bhayangkara terjun mengevakuasi masyarakat terdampak erupsi Gunung Semeru yang berada di Lumajang, Jawa Timur https://t.co/eu2smHZMKV",2021-12-06 03:59:24,
,triwul82,49,"Ketua DPR RI Puan Maharani menyampaikan belasungkawa untuk warga yang menjadi korban meninggal dunia akibat erupsi Gunung Semeru, Jawa Timur.
Dia meminta agar kebutuhan warga korban terdampak meletusnya Semeru menjadi prioritas.

* Puanesia https://t.co/pqPPnHOMUh",2021-12-06 03:59:24,
,kembangan_humas,0,"Aman Nusa II Tanggulangi Erupsi Gunung Semeru

""Segala unsur kekuatan terbaik yang dimiliki Polri dikerahkan untuk membantu warga yang menjadi korban Erupsi Gunung Semeru.

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/1crIRPY2Lr",2021-12-06 03:59:23,
Padhill8,berrypropan,17,RT @Padhill8: Korban tewas akibat erupsi Gunung Semeru bertambah menjadi 13 orang berdasarkan data BNPB Minggu (5/12) pagi. Berdasarkan dat…,2021-12-06 03:59:23,retweeted
