author,username,retweet_count,tweets,created_at,type
registaco,teddy_tk10,16,"RT @registaco: Seri balapan yang paling banyak dramanya, Lewis Hamilton keluar sebagai pemenang di GP Arab Saudi kali ini.

Untuk itu, pere…",2021-12-06 03:44:27,retweeted
,KimGguk123,0,Ayo tebak juara dari Goyang Shopee bersama TXT! https://t.co/3OkzLMNPo3 https://t.co/GWuFS9XnPH,2021-12-06 03:43:54,
,natharizkie,0,"Podium 1st F1 2021

Verstappen : 9x
Hamilton : 8x

Seandainya nanti kedua nya crash di GP Abu Dhabi, maka dipastikan Verstappen yang juara",2021-12-06 03:43:38,
kosmo_online,akmalarif90,1,RT @kosmo_online: Baru juara sekali dah minta macam-macam si Joan Mir ni https://t.co/XszAJoQEOy,2021-12-06 03:43:15,retweeted
markicols,jarboy99,1949,RT @markicols: Untuk konten berhijab neighbor memang juara 🏆 https://t.co/huVP2SNH7H,2021-12-06 03:43:06,retweeted
tirta_cipeng,ikopangestii,0,@tirta_cipeng Jangan sampe kejadian kayak prost vs senna . Di tabrak di tikungan pertama biar ga ada yyg menang dan max juara,2021-12-06 03:42:42,replied_to
silentm00ds,heroeschampion,13,"RT @silentm00ds: Man Wei Chong/ Tee Kai Wun
✨ Achievements In 2021 ✨

- Juara Terbuka Polish
- Juara Spanish International
- Juara Terbuka…",2021-12-06 03:41:48,retweeted
rhapzodie,marchhumanrace,0,@rhapzodie @fantashittt @convomfs klo januari itu drama si zuxxy/luxxy atau dia menang  juara dunia? lupa gua,2021-12-06 03:40:48,replied_to
livtani,oreiov,0,@livtani @convomfs kalo ga salah itu gamers yg sampe juara dunia diselingkuhin pacar nya gitu,2021-12-06 03:40:31,replied_to
,rizqi5691,0,"Penentuan juara dunia F1 di musim ini siapa yang bakal Juara Max Verstappen atau Lewis Hamilton poin nya sama, cuma musim ini ketat banget",2021-12-06 03:40:14,
,SandraDarmika,0,"Kang Emil Harap Lahir Gagasan Besar Pecahkan Persoalan Bangsa dari PA GMNI
https://t.co/HXNAcmjVQQ
#nasional #jabarjuara #BeritaTerkini #Berita #beritaViral",2021-12-06 03:40:06,
