author,username,retweet_count,tweets,created_at,type
,Berdendangnusa1,0,"Review Lining Gold Medal Shuttlecock (Bulu Raketnya Dari Tali Nilon) https://t.co/wu14nBJ5CG 
#shuttlecock #badmintonindonesia #Badminton #lining #bolaraket #badmintonmalaysia",2021-12-06 03:20:48,
,fvaddd17,0,badminton nek serius nggarano tangan nyeri yo wkwk,2021-12-06 03:18:32,
immasadghost,akasvl,0,"@immasadghost It's the same story just a different name, Bang. Liat Twitter adanya kasus mulu. Ga di Asumsi, Tirto, atau tweetnya Bu Susi. Mulai dari pelecehan seksual, ke-baka-an pejabat publik, atau kasus korupsi. Heran, gaada berita baik selain badminton.",2021-12-06 03:15:35,replied_to
Rayyrayyrayy_,liliananda_,0,"@Rayyrayyrayy_ @paristiawangN @detikcom Manja lo kata, prestasi badminton nonstop tuh bukti atlet badminton gak pernah manja. Yang manja tuh yang belom dapet prestasi setara badminton dikucurin bonus mulu",2021-12-06 03:15:13,replied_to
,PBDjarum,5,"Pebulutangkis putri Korea Selatan, An Se Young tampil cemerlang di tiga turnamen yang tersaji di Indonesia Badminton Festival (IBF) 2021. https://t.co/7K22NGpdKT",2021-12-06 03:14:48,
,Aryakebon1,0,"Kata Mantan Olimpian Indonesia soal Polemik Bonus Tim Piala ThomasKlik untuk baca: https://t.co/1CSTKFzc7x",2021-12-06 03:13:04,
emajiq,imnurhkm,0,@emajiq Nak mintak diskaun bayar badminton,2021-12-06 03:12:34,replied_to
kan,kixanaxxxx,0,kan masalahnya gara gara si menpora watados bgt ga paham badminton tp asal jeplak sana sini soal thomas cup ga bergengsi. tp malah nih orang federasi sebelah julid2 aneh gini kan ngeselin😤,2021-12-06 03:10:51,replied_to
detikcom,tacalista16,0,@detikcom Banyak bacot doang. Gausah ikt campur bisa ga sih? Urusin dahhh atlet masing². Badminton gd kaitannya sama Angkat Besi,2021-12-06 03:10:38,replied_to
detiksport,hallomartian,0,"@detiksport Perlu diketahui Tim Thomas adalah para crazy rich, nak badminton tuh udah kaya-kaya, siapa yg menomorsatukan bonus? mereka menang bukan buat bonus kok untuk diri mereka sendiri, pasti banggalah punya title juara Thomas cumakan bawa nama negara juga at least ada apresiasinya.",2021-12-06 03:10:36,replied_to
patbingzu,afifadefi,0,@patbingzu Sekarang ngehype badminton tuh hampir sama kayak ngehype kpop. Mereka gak boleh deket-deket sama lawan jenis. Padahal normal itu tuh 😭😭,2021-12-06 03:10:30,replied_to
jpnncom,AbdillahakbarR1,1,RT @jpnncom: Simak ulasan kegilaan An Seyoung selama mengikuti rangkaian Indonesia Badminton Festival (IBF) 2021 yang berlangsung di Pulau…,2021-12-06 03:08:18,retweeted
Destangreys,maulanataufik_,115,"RT @Destangreys: Indonesia Badminton Festival 2021 resmi berakhir.

Semua cerita tentang tantangan persiapan, perjalanan dan akhirnya seles…",2021-12-06 03:07:50,retweeted
